bill_id,people_id,position
1893344,16288,6
1893344,16304,3
1893344,18065,9
1893344,19719,12
1893344,19721,13
1893344,22654,5
1893344,23152,4
1893344,23202,2
1893344,23205,1
1893344,23219,15
1893344,25335,16
1893344,25338,11
1893344,25339,7
1893344,25340,8
1893344,25341,10
1893344,25347,14
1893345,23207,1
1893346,21719,1
1893347,16287,1
1893347,16293,15
1893347,18066,6
1893347,18069,11
1893347,21718,7
1893347,23203,4
1893347,23206,9
1893347,23207,10
1893347,23209,13
1893347,23211,2
1893347,23218,17
1893347,23222,18
1893347,23906,3
1893347,25333,5
1893347,25334,8
1893347,25337,14
1893347,25339,12
1893347,25342,16
1893347,25352,19
1893348,25344,1
1893349,19717,6
1893349,21717,1
1893349,21718,7
1893349,23202,4
1893349,23205,2
1893349,23208,3
1893349,23217,8
1893349,23227,5
1893350,16288,1
1893350,18065,5
1893350,21719,6
1893350,22948,3
1893350,23152,2
1893350,23205,4
1893350,23214,7
1893351,23203,1
1893352,23203,1
1893353,25334,1
1893354,25334,1
1893355,19721,5
1893355,23211,2
1893355,23213,1
1893355,23217,4
1893355,25340,3
1893356,25334,1
1893357,25334,1
1893358,25334,1
1893359,25334,1
1893360,25334,1
1893361,23207,2
1893361,25334,1
1893362,25334,1
1893363,16304,2
1893363,18070,7
1893363,21717,3
1893363,22654,4
1893363,23208,5
1893363,23210,6
1893363,23219,1
1893364,18070,4
1893364,21717,2
1893364,23208,3
1893364,23219,1
1893365,19459,1
1893366,23206,1
1893367,16293,9
1893367,18069,2
1893367,21718,6
1893367,23152,1
1893367,23203,3
1893367,23206,7
1893367,23209,8
1893367,23212,5
1893367,23215,12
1893367,23216,13
1893367,23219,15
1893367,23220,17
1893367,23225,4
1893367,23906,19
1893367,25335,20
1893367,25338,10
1893367,25343,14
1893367,25346,11
1893367,25350,16
1893367,25358,18
1893368,19720,1
1893369,23220,1
1893370,18067,1
1893371,23211,1
1893372,23152,1
1893373,23220,1
1893374,25359,1
1893375,16293,1
1893376,23224,1
1893377,19459,1
1893378,22948,1
1893379,25342,1
1893380,22932,1
1893381,25348,1
1893382,25348,1
1893383,19716,1
1893384,19727,2
1893384,23221,1
1893384,23226,3
1893384,25346,4
1893385,23221,1
1893386,23152,1
1893387,14116,1
1893387,14118,9
